data,a_vista_r,a_vista_us
1997-07-23,26.67,24.65
1997-07-24,26.67,24.65
1997-07-25,26.71,24.68
1997-07-28,26.74,24.7
1997-07-29,26.77,24.72
1997-07-30,26.75,24.71
1997-07-31,26.73,24.69
1997-08-01,26.7,24.65
1997-08-04,26.74,24.69
1997-08-05,26.64,24.58
1997-08-06,26.65,24.58
1997-08-07,26.54,24.48
1997-08-08,26.55,24.46
1997-08-11,26.51,24.42
1997-08-12,26.38,24.29
1997-08-13,26.27,24.19
1997-08-14,26.18,24.11
1997-08-15,26.11,24.02
1997-08-18,26.07,23.95
1997-08-19,26.11,23.97
1997-08-20,26.27,24.13
1997-08-21,26.29,24.16
1997-08-22,26.33,24.13
1997-08-25,26.44,24.23
1997-08-26,26.46,24.22
1997-08-27,26.4,24.17
1997-08-28,26.36,24.14
1997-08-29,26.35,24.13
1997-09-01,26.27,24.06
1997-09-02,26.23,24.02
1997-09-03,26.2,23.99
1997-09-04,26.09,23.89
1997-09-05,25.78,23.62
1997-09-08,25.77,23.62
1997-09-09,25.72,23.58
1997-09-10,25.72,23.57
1997-09-11,25.76,23.6
1997-09-12,25.74,23.57
1997-09-15,25.83,23.65
1997-09-16,25.9,23.7
1997-09-17,25.9,23.69
1997-09-18,25.92,23.7
1997-09-19,26.02,23.78
1997-09-22,26.09,23.84
1997-09-23,26.1,23.84
1997-09-24,26.14,23.87
1997-09-25,26.2,23.92
1997-09-26,26.26,23.97
1997-09-29,26.39,24.08
1997-09-30,26.39,24.08
1997-10-01,26.36,24.04
1997-10-02,26.37,24.04
1997-10-03,26.35,24.03
1997-10-06,26.36,24.03
1997-10-07,26.38,24.03
1997-10-08,26.42,24.07
1997-10-09,26.51,24.15
1997-10-10,26.6,24.22
1997-10-13,26.74,24.35
1997-10-14,26.89,24.48
1997-10-15,27.07,24.63
1997-10-16,27.25,24.79
1997-10-17,27.44,24.96
1997-10-20,27.64,25.14
1997-10-21,27.85,25.32
1997-10-22,27.88,25.33
1997-10-23,27.91,25.36
1997-10-24,27.92,25.36
1997-10-27,27.93,25.29
1997-10-28,27.87,25.32
1997-10-29,27.79,25.22
1997-10-30,27.79,25.12
1997-10-31,27.71,25.13
1997-11-03,27.39,24.84
1997-11-04,27.42,24.85
1997-11-05,27.39,24.82
1997-11-06,27.07,24.45
1997-11-07,27.08,24.47
1997-11-10,27,24.43
1997-11-11,26.97,24.41
1997-11-12,26.83,24.25
1997-11-13,26.83,24.22
1997-11-14,26.79,24.2
1997-11-17,26.56,24.02
1997-11-18,26.41,23.88
1997-11-19,26.37,23.8
1997-11-20,26.42,23.8
1997-11-21,26.53,23.91
1997-11-24,26.55,23.95
1997-11-25,26.7,24.06
1997-11-26,26.7,24.05
1997-11-27,26.78,24.17
1997-11-28,26.8,24.17
1997-12-01,26.99,24.34
1997-12-02,27.09,24.43
1997-12-03,27.26,24.56
1997-12-04,27.44,24.72
1997-12-05,27.46,24.73
1997-12-08,27.42,24.67
1997-12-09,27.4,24.65
1997-12-10,27.35,24.55
1997-12-11,27.34,24.52
1997-12-12,27.33,24.48
1997-12-15,27.28,24.52
1997-12-16,27.25,24.47
1997-12-17,27.11,24.34
1997-12-18,27.07,24.31
1997-12-19,27.08,24.31
1997-12-22,27.07,24.28
1997-12-23,27.06,24.28
1997-12-26,27.11,24.31
1997-12-29,27.12,24.33
1997-12-30,27.15,24.33
1998-01-02,27.19,24.36
1998-01-05,27.24,24.41
1998-01-06,27.2,24.37
1998-01-07,27.16,24.32
1998-01-08,27.14,24.24
1998-01-09,27.05,24.2
1998-01-12,26.97,24.12
1998-01-13,26.84,24.01
1998-01-14,26.57,23.72
1998-01-15,26.52,23.66
1998-01-16,26.44,23.58
1998-01-19,26.42,23.61
1998-01-20,26.33,23.51
1998-01-21,26.25,23.43
1998-01-22,26.22,23.4
1998-01-23,26.16,23.33
1998-01-26,26.03,23.22
1998-01-27,26.04,23.2
1998-01-28,26.04,23.2
1998-01-29,26.05,23.2
1998-01-30,26.11,23.25
1998-02-02,26.14,23.27
1998-02-03,26.22,23.33
1998-02-04,26.22,23.32
1998-02-05,26.31,23.4
1998-02-06,26.36,23.43
1998-02-09,26.38,23.45
1998-02-10,26.38,23.43
1998-02-11,26.41,23.45
1998-02-12,26.44,23.47
1998-02-13,26.42,23.44
1998-02-16,26.39,23.41
1998-02-17,26.47,23.46
1998-02-18,26.52,23.51
1998-02-19,26.54,23.51
1998-02-20,26.55,23.52
1998-02-25,26.59,23.54
1998-02-26,26.58,23.54
